,0
0,"[[[    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]
  [    0.  1000.]]]"
1,"[[list([0.0]) list([0.0, 708.1948258418846]) list([0.0, 7.313800724648571])
  list([0.0, 909.1032504556564, 985.796030620477, 991.7870983762507])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
2,"[[list([0.0]) list([0.0, 652.316674917825]) list([0.0, 6.6582953941848855])
  list([0.0, 99.34265268555244]) list([0.0]) list([0.0]) list([0.0])
  list([0.0]) list([0.0]) list([0.0])]]"
3,"[[list([0.0])
  list([0.0, 957.4739937476219, 961.2018950083359, 966.2806390784239, 966.5259837268383, 982.6307486830892, 983.8033198954045, 990.0839131166535, 1021.816333153781, 1027.337294414879, 1028.5326640455144, 1055.9998773486686, 1115.1558216936812])
  list([0.0, 0.7830946791831036, 20.0333608041038, 52.26019545571305, 67.27770991921346])
  list([0.0, 5.374157750422826, 8.808287466260694]) list([0.0]) list([0.0])
  list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
4,"[[list([0.0]) list([0.0, 0.574611205115275])
  list([0.0, 0.06119983117867026, 0.5842062267273782, 1.7617654799615758, 4.364522636722979])
  list([0.0, 693.2563898319925, 698.4794621479191, 758.9098508461558, 820.3745690533052, 829.714560684438])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
5,"[[list([0.0]) list([0.0, 19.25344376998298, 55.97550929740869])
  list([0.0, 236.7547441131542, 646.7556304172235, 805.8520567119473, 856.0124897248584, 1094.6190395157614, 1142.3294064003305])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
6,"[[list([0.0]) list([0.0, 708.0852820377114])
  list([0.0, 185.7950459227099, 478.70447327853594, 630.1790982676557, 652.6344002562618, 725.3938847839023])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
7,"[[list([0.0]) list([0.0, 659.0739146106931])
  list([0.0, 244.12601274808063, 673.2520709317229, 699.247519092832, 739.1377885232965, 777.3257589456603, 1097.7559111076037])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
8,"[[list([0.0]) list([0.0, 614.9035269748972, 627.5424113137307])
  list([0.0, 154.8718135919206, 518.9851868467185, 650.810133913491, 714.525800976457])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
9,"[[list([0.0]) list([0.0, 551.5372713572287])
  list([0.0, 255.33829173889322, 421.9274687738305]) list([0.0])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
10,"[[list([0.0])
  list([0.0, 256.00788516128546, 559.6271862217485, 644.2541651722255])
  list([0.0, 23.41047964615848]) list([0.0]) list([0.0]) list([0.0])
  list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
11,"[[list([0.0])
  list([0.0, 169.86691313813316, 229.77840022794012, 422.82968863076667, 485.3579927753461])
  list([0.0, 80.23783260387307]) list([0.0]) list([0.0]) list([0.0])
  list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
12,"[[list([0.0]) list([0.0, 453.8040979118638])
  list([0.0, 25.353032021460773]) list([0.0]) list([0.0]) list([0.0])
  list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
13,"[[list([0.0]) list([0.0, 25.498026966818543])
  list([0.0, 405.39086305347786, 497.14421224191085, 626.5978331502243, 713.5047975887121, 813.5048479669322, 1291.2162933313225])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
14,"[[list([0.0]) list([0.0, 16.376536800412385])
  list([0.0, 160.1306197873009, 202.7782635122931, 612.360201979335, 622.5135631683913, 682.1840488169353, 682.5101517113142, 1149.782880446407, 1231.973091370847])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
15,"[[list([0.0]) list([0.0, 138.4522251112478, 163.5548558319014])
  list([0.0, 296.3607995764166, 466.8368857238648, 487.31313092958345, 682.9414787266471, 959.9237822054729])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
16,"[[list([0.0])
  list([0.0, 2.6203324167177016, 16.84956494713321, 385.4111998771132])
  list([0.0, 391.70622958735055, 436.54948722418953, 504.0002351065984, 509.50366275857016])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
17,"[[list([0.0]) list([0.0, 344.6147370588034]) list([0.0, 27.70749786079185])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
18,"[[list([0.0]) list([0.0, 374.41560954150697])
  list([0.0, 25.540636164804912]) list([0.0]) list([0.0]) list([0.0])
  list([0.0]) list([0.0]) list([0.0]) list([0.0])]]"
19,"[[list([0.0])
  list([0.0, 162.0905776252769, 586.7290715940651, 622.4502385468919, 636.7506014351225, 651.887425993183])
  list([0.0, 8.332896180515013, 24.253316262661045, 54.747181456415404, 74.16582068223963, 97.21993053657613, 122.34254659185437, 147.912131167246, 162.38499888596573, 187.44365558613072, 238.24269021966927, 383.31761771296055])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
20,"[[list([0.0])
  list([0.0, 0.6415204460384984, 5.073147911986553, 5.932376838390724, 9.765088718591244, 364.2333642858209])
  list([0.0, 157.70354715429963, 617.684173158244, 618.7961349017369, 691.645985868959, 696.2412451275139, 916.9389438159184, 1213.5574928312742])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
21,"[[list([0.0])
  list([0.0, 267.9922576842067, 412.1180972143282, 421.52968751123865, 451.0941395532235])
  list([0.0, 22.52380872289848, 32.58433746292218, 38.872340995044794, 94.95724854637774])
  list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0]) list([0.0])
  list([0.0])]]"
